QC1-1-129a      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129b      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129c      Kodeverdi for EE utenfor tillatt omraade
QC1-3b-264      Frys-sjekk. Varighet av samme verdi av UN storre enn testverdi.
QC1-3b-265      Frys-sjekk. Varighet av samme verdi av UX storre enn testverdi.
QC1-3b-61       Frys-sjekk. Varighet av samme verdi av DD storre enn testverdi.
QC1-3b-63       Frys-sjekk. Varighet av samme verdi av DG storre enn testverdi.
QC1-3b-64       Frys-sjekk. Varighet av samme verdi av DDM storre enn testverdi.
QC1-3b-67       Frys-sjekk. Varighet av samme verdi av DX storre enn testverdi.
QC1-3b-81       Frys-sjekk. Varighet av samme verdi av FF storre enn testverdi.
QC1-3b-85       Frys-sjekk. Varighet av samme verdi av FM storre enn testverdi.
QC1-3b-86       Frys-sjekk. Varighet av samme verdi av FX storre enn testverdi.
QC1-3b-87       Frys-sjekk. Varighet av samme verdi av FX_1 storre enn testverdi.
QC1-3b-88       Frys-sjekk. Varighet av samme verdi av FX_6 storre enn testverdi.
QC1-3b-89       Frys-sjekk. Varighet av samme verdi av FX_12 storre enn testverdi.
QC1-3b-90       Frys-sjekk. Varighet av samme verdi av FG_1 storre enn testverdi.
QC1-3b-91       Frys-sjekk. Varighet av samme verdi av FG_6 storre enn testverdi.
QC1-3b-92       Frys-sjekk. Varighet av samme verdi av FG_12 storre enn testverdi.
QC1-3b-93       Frys-sjekk. Varighet av samme verdi av FX_X storre enn testverdi.
QC1-3b-94       Frys-sjekk. Varighet av samme verdi av FG_X storre enn testverdi.
QC1-3b-95       Frys-sjekk. Varighet av samme verdi av FX_3 storre enn testverdi.
QC1-3c-1        Dip- og Peak-sjekk. Dip eller Peak av AA storre enn testverdi.
QC1-3c-104      Dip- og Peak-sjekk. Dip eller Peak av RA storre enn testverdi.
QC1-3c-105      Dip- og Peak-sjekk. Dip eller Peak av RR_01 storre enn testverdi.
QC1-3c-113      Dip- og Peak-sjekk. Dip eller Peak av SS_1 storre enn testverdi.
QC1-3c-135      Dip- og Peak-sjekk. Dip eller Peak av WHMAX storre enn testverdi.
QC1-3c-136      Dip- og Peak-sjekk. Dip eller Peak av WHM0 storre enn testverdi.
QC1-3c-172      Dip- og Peak-sjekk. Dip eller Peak av PH storre enn testverdi.
QC1-3c-174      Dip- og Peak-sjekk. Dip eller Peak av POM storre enn testverdi.
QC1-3c-175      Dip- og Peak-sjekk. Dip eller Peak av PON storre enn testverdi.
QC1-3c-176      Dip- og Peak-sjekk. Dip eller Peak av POX storre enn testverdi.
QC1-3c-177      Dip- og Peak-sjekk. Dip eller Peak av PP storre enn testverdi.
QC1-3c-178      Dip- og Peak-sjekk. Dip eller Peak av PR storre enn testverdi.
QC1-3c-197      Dip- og Peak-sjekk. Dip eller Peak av QE storre enn testverdi.
QC1-3c-198      Dip- og Peak-sjekk. Dip eller Peak av QL storre enn testverdi.
QC1-3c-199      Dip- og Peak-sjekk. Dip eller Peak av QLX storre enn testverdi.
QC1-3c-2        Dip- og Peak-sjekk. Dip eller Peak av BI storre enn testverdi.
QC1-3c-200      Dip- og Peak-sjekk. Dip eller Peak av QO storre enn testverdi.
QC1-3c-201      Dip- og Peak-sjekk. Dip eller Peak av QOX storre enn testverdi.
QC1-3c-211      Dip- og Peak-sjekk. Dip eller Peak av TA storre enn testverdi.
QC1-3c-212      Dip- og Peak-sjekk. Dip eller Peak av TAM storre enn testverdi.
QC1-3c-213      Dip- og Peak-sjekk. Dip eller Peak av TAN storre enn testverdi.
QC1-3c-215      Dip- og Peak-sjekk. Dip eller Peak av TAX storre enn testverdi.
QC1-3c-221      Dip- og Peak-sjekk. Dip eller Peak av TG storre enn testverdi.
QC1-3c-222      Dip- og Peak-sjekk. Dip eller Peak av TGM storre enn testverdi.
QC1-3c-223      Dip- og Peak-sjekk. Dip eller Peak av TGN storre enn testverdi.
QC1-3c-225      Dip- og Peak-sjekk. Dip eller Peak av TGX storre enn testverdi.
QC1-3c-227      Dip- og Peak-sjekk. Dip eller Peak av TJM storre enn testverdi.
QC1-3c-238      Dip- og Peak-sjekk. Dip eller Peak av TV storre enn testverdi.
QC1-3c-262      Dip- og Peak-sjekk. Dip eller Peak av UU storre enn testverdi.
QC1-3c-264      Dip- og Peak-sjekk. Dip eller Peak av UN storre enn testverdi.
QC1-3c-265      Dip- og Peak-sjekk. Dip eller Peak av UX storre enn testverdi.
QC1-4-213       TAN's avvik fra TA's laveste modellverdi fra forrige obs storre enn testverdi.
QC1-4-215       TAX's avvik fra TA's hoyeste modellverdi fra forrige obs storre enn testverdi.
QC1-6-66.a	Forholdet mellom markas tilstand, snødybde og nedbørtype
QC1-6-66.b_66.c	Forholdet mellom markas tilstand, snødybde og nedbørtype
QC1-6-66.d	Forholdet mellom markas tilstand, snødybde og nedbørtype
QC1-6-176	Ikke samsvar mellom skymengde og sikt
QC1-6-211	Stort avvik mellom TAN_12 og TA i samme periode (15 grader)
QC1-6-212	Stort avvik mellom TAN_12 (kl.06) og TA i samme periode (9 grader)
QC1-6-213	Stort avvik mellom TAN_12 (kl.06) og TA (kl.06) (10 grader)
QC1-6-214_215	Stort avvik mellom TAN_12 (kl.18) og TA i samme periode
QC1-6-216	Stort avvik mellom TAX_12 og TA i samme periode (15 grader)
QC1-6-217	Stort avvik mellom TAX_12 (kl.06) og TA i samme periode (3 grader)
QC1-6-218	Stort avvik mellom TAX_12 (kl.06) og TA (kl.06) (5 grader)
QC1-6-219	Stort avvik mellom TAX_12 (kl.18) og TA (kl.18) (5 grader)
QC1-6-220	Stort avvik mellom TAX_12 (kl.18) og TA (kl.12) (5 grader)
QC1-6-221	Stort avvik mellom TAX_12 (kl.18) og TA i samme periode
QC1-6-224	Gressminimum større enn TAN_12 (kl.06)
QC1-6-225	Duggpunktstemperatur større enn TA
QC1-6-226	Stort avvik mellom duggpunktstemperatur og lufttemperatur (20 grader)
QC1-6-231_232	Stort avvik mellom gressminimum og TAN_12
QC1-6-233	TA>+5°C og snø / snøbyger (værkode)
QC1-6-234	TA>+3°C og snø / snøbyger (værsymboler)
QC1-6-235	TAN_12>+2°C og snø (værsymboler)
QC1-6-236	Forholdet mellom temperatur og værkode (temperaturgrense -2°C)
QC1-6-237	TAX_12<+0.5°C og yr / regn (værsymboler)
QC1-6-238	TA<0°C og regn (værsymboler)
QC1-6-239_242	Forholdet temperatur og sludd (værkode)
QC1-6-240_243	Forholdet temperatur og sludd (værsymboler)
QC1-6-241	TAN_12>+5°C og sludd (værsymboler)
QC1-6-244	TAX_12<-2°C og sludd (værsymboler)
QC1-6-245_246	Forholdet temperatur og underkjølt yr / regn (værkode, TA>0°C)
QC1-6-247_248	Forholdet temperatur og underkjølt yr / regn (værkode, TA<-7°C)
